status,data,date
success,"[{'exchange': 'NSCOM', 'start_time': 1754883000000, 'end_time': 1754935200000}, {'exchange': 'CDS', 'start_time': 1754883000000, 'end_time': 1754911800000}, {'exchange': 'NFO', 'start_time': 1754883900000, 'end_time': 1754906400000}, {'exchange': 'BSE', 'start_time': 1754883900000, 'end_time': 1754906400000}, {'exchange': 'BCD', 'start_time': 1754883000000, 'end_time': 1754911800000}, {'exchange': 'BFO', 'start_time': 1754883900000, 'end_time': 1754906400000}, {'exchange': 'NSE', 'start_time': 1754883900000, 'end_time': 1754906400000}, {'exchange': 'MCX', 'start_time': 1754883000000, 'end_time': 1754935200000}]",2025-08-11
success,"[{'exchange': 'NSCOM', 'start_time': 1754969400000, 'end_time': 1755021600000}, {'exchange': 'CDS', 'start_time': 1754969400000, 'end_time': 1754998200000}, {'exchange': 'NFO', 'start_time': 1754970300000, 'end_time': 1754992800000}, {'exchange': 'BSE', 'start_time': 1754970300000, 'end_time': 1754992800000}, {'exchange': 'BCD', 'start_time': 1754969400000, 'end_time': 1754998200000}, {'exchange': 'BFO', 'start_time': 1754970300000, 'end_time': 1754992800000}, {'exchange': 'NSE', 'start_time': 1754970300000, 'end_time': 1754992800000}, {'exchange': 'MCX', 'start_time': 1754969400000, 'end_time': 1755021600000}]",2025-08-12
success,"[{'exchange': 'NSCOM', 'start_time': 1755055800000, 'end_time': 1755108000000}, {'exchange': 'CDS', 'start_time': 1755055800000, 'end_time': 1755084600000}, {'exchange': 'NFO', 'start_time': 1755056700000, 'end_time': 1755079200000}, {'exchange': 'BSE', 'start_time': 1755056700000, 'end_time': 1755079200000}, {'exchange': 'BCD', 'start_time': 1755055800000, 'end_time': 1755084600000}, {'exchange': 'BFO', 'start_time': 1755056700000, 'end_time': 1755079200000}, {'exchange': 'NSE', 'start_time': 1755056700000, 'end_time': 1755079200000}, {'exchange': 'MCX', 'start_time': 1755055800000, 'end_time': 1755108000000}]",2025-08-13
success,"[{'exchange': 'NSCOM', 'start_time': 1755142200000, 'end_time': 1755194400000}, {'exchange': 'CDS', 'start_time': 1755142200000, 'end_time': 1755171000000}, {'exchange': 'NFO', 'start_time': 1755143100000, 'end_time': 1755165600000}, {'exchange': 'BSE', 'start_time': 1755143100000, 'end_time': 1755165600000}, {'exchange': 'BCD', 'start_time': 1755142200000, 'end_time': 1755171000000}, {'exchange': 'BFO', 'start_time': 1755143100000, 'end_time': 1755165600000}, {'exchange': 'NSE', 'start_time': 1755143100000, 'end_time': 1755165600000}, {'exchange': 'MCX', 'start_time': 1755142200000, 'end_time': 1755194400000}]",2025-08-14
