id,symbol,consolidation_start,consolidation_end,breakout_date,volume_confirmed
114,POWERGRID.NS,2022-12-21,2022-12-22,,
115,POWERGRID.NS,2022-12-28,2022-12-29,,
116,POWERGRID.NS,2023-01-11,2023-01-12,,
117,POWERGRID.NS,2023-01-18,2023-01-19,,
118,POWERGRID.NS,2023-01-25,2023-01-27,,
119,POWERGRID.NS,2023-02-01,2023-02-02,,
120,POWERGRID.NS,2023-02-08,2023-02-09,,
121,POWERGRID.NS,2023-02-15,2023-02-16,,
122,POWERGRID.NS,2023-03-01,2023-03-02,,
123,POWERGRID.NS,2023-03-08,2023-03-09,,
124,POWERGRID.NS,2023-03-15,2023-03-16,,
125,POWERGRID.NS,2023-03-22,2023-03-23,,
126,POWERGRID.NS,2023-03-29,2023-03-31,,
127,POWERGRID.NS,2023-04-05,2023-04-06,,
128,POWERGRID.NS,2023-04-12,2023-04-13,,
129,POWERGRID.NS,2023-04-19,2023-04-20,,
130,POWERGRID.NS,2023-05-03,2023-05-04,,
131,POWERGRID.NS,2023-05-10,2023-05-11,,
132,POWERGRID.NS,2023-05-17,2023-05-18,,
133,POWERGRID.NS,2023-05-24,2023-05-25,,
134,POWERGRID.NS,2023-06-07,2023-06-08,,
135,POWERGRID.NS,2023-06-14,2023-06-15,,
136,POWERGRID.NS,2023-06-21,2023-06-22,,
137,POWERGRID.NS,2023-06-30,2023-07-03,,
138,POWERGRID.NS,2023-07-10,2023-07-11,,
139,POWERGRID.NS,2023-07-13,2023-07-14,,
140,POWERGRID.NS,2023-07-19,2023-07-20,,
141,POWERGRID.NS,2023-07-26,2023-07-27,,
142,POWERGRID.NS,2023-08-02,2023-08-03,,
143,POWERGRID.NS,2023-08-09,2023-08-10,,
144,POWERGRID.NS,2023-08-23,2023-08-24,,
145,POWERGRID.NS,2023-08-30,2023-08-31,,
146,POWERGRID.NS,2023-09-06,2023-09-07,,
147,POWERGRID.NS,2023-09-13,2023-09-14,,
148,POWERGRID.NS,2023-09-20,2023-09-21,,
149,POWERGRID.NS,2023-09-27,2023-09-28,,
150,POWERGRID.NS,2023-10-04,2023-10-05,,
151,POWERGRID.NS,2023-10-18,2023-10-19,,
152,POWERGRID.NS,2023-10-25,2023-10-26,,
153,POWERGRID.NS,2023-11-01,2023-11-02,,
154,POWERGRID.NS,2023-11-08,2023-11-09,,
155,POWERGRID.NS,2023-11-15,2023-11-16,,
156,POWERGRID.NS,2023-11-22,2023-11-23,,
157,POWERGRID.NS,2023-11-29,2023-11-30,,
158,POWERGRID.NS,2023-12-07,2023-12-08,,
159,POWERGRID.NS,2023-12-18,2023-12-19,,
160,POWERGRID.NS,2023-12-21,2023-12-22,,
161,POWERGRID.NS,2023-12-28,2023-12-29,,
162,POWERGRID.NS,2024-01-03,2024-01-04,,
163,POWERGRID.NS,2024-01-10,2024-01-11,,
164,POWERGRID.NS,2024-01-24,2024-01-25,,
165,POWERGRID.NS,2024-02-08,2024-02-09,,
167,POWERGRID.NS,2024-02-16,2024-02-19,,
168,POWERGRID.NS,2024-02-21,2024-02-22,,
169,POWERGRID.NS,2024-02-28,2024-02-29,,
170,POWERGRID.NS,2024-03-06,2024-03-07,,
171,POWERGRID.NS,2024-03-13,2024-03-14,,
172,POWERGRID.NS,2024-03-21,2024-03-22,,
173,POWERGRID.NS,2024-03-28,2024-04-01,,
174,POWERGRID.NS,2024-04-03,2024-04-04,,
175,POWERGRID.NS,2024-04-12,2024-04-15,,
176,POWERGRID.NS,2024-04-18,2024-04-19,,
177,POWERGRID.NS,2024-04-24,2024-04-25,,
178,POWERGRID.NS,2024-05-02,2024-05-03,,
179,POWERGRID.NS,2024-05-08,2024-05-09,,
180,POWERGRID.NS,2024-05-15,2024-05-16,,
181,POWERGRID.NS,2024-05-22,2024-05-23,,
182,POWERGRID.NS,2024-05-30,2024-05-31,,
183,POWERGRID.NS,2024-06-05,2024-06-06,,
184,POWERGRID.NS,2024-06-12,2024-06-13,,
185,POWERGRID.NS,2024-06-19,2024-06-20,,
186,POWERGRID.NS,2024-06-26,2024-06-27,,
187,POWERGRID.NS,2024-07-03,2024-07-04,,
188,POWERGRID.NS,2024-07-10,2024-07-11,,
189,POWERGRID.NS,2024-07-19,2024-07-22,,
190,POWERGRID.NS,2024-07-24,2024-07-25,,
191,POWERGRID.NS,2024-08-01,2024-08-02,,
192,POWERGRID.NS,2024-08-08,2024-08-09,,
193,POWERGRID.NS,2024-08-14,2024-08-16,,
194,POWERGRID.NS,2024-08-21,2024-08-22,,
195,POWERGRID.NS,2024-08-28,2024-08-29,,
196,POWERGRID.NS,2024-09-04,2024-09-05,,
197,POWERGRID.NS,2024-09-11,2024-09-12,,
198,POWERGRID.NS,2024-09-25,2024-09-26,,
199,POWERGRID.NS,2024-10-03,2024-10-04,,
200,POWERGRID.NS,2024-10-09,2024-10-10,,
201,POWERGRID.NS,2024-10-16,2024-10-17,,
202,POWERGRID.NS,2024-10-23,2024-10-24,,
203,POWERGRID.NS,2024-10-30,2024-10-31,,
204,POWERGRID.NS,2024-11-06,2024-11-07,,
205,POWERGRID.NS,2024-11-13,2024-11-14,,
206,POWERGRID.NS,2024-11-22,2024-11-25,,
207,POWERGRID.NS,2024-11-27,2024-11-28,,
208,POWERGRID.NS,2024-12-04,2024-12-05,,
209,POWERGRID.NS,2024-12-11,2024-12-12,,
210,POWERGRID.NS,2024-12-18,2024-12-19,,
211,POWERGRID.NS,2024-12-26,2024-12-27,,
212,POWERGRID.NS,2025-01-08,2025-01-09,,
213,POWERGRID.NS,2025-01-15,2025-01-16,,
214,POWERGRID.NS,2025-01-22,2025-01-23,,
215,POWERGRID.NS,2025-02-03,2025-02-04,,
216,POWERGRID.NS,2025-02-05,2025-02-06,,
217,POWERGRID.NS,2025-02-12,2025-02-13,,
218,POWERGRID.NS,2025-02-19,2025-02-20,,
219,POWERGRID.NS,2025-02-28,2025-03-03,,
220,POWERGRID.NS,2025-03-05,2025-03-06,,
221,POWERGRID.NS,2025-03-12,2025-03-13,,
222,POWERGRID.NS,2025-03-19,2025-03-20,,
223,POWERGRID.NS,2025-03-26,2025-03-27,,
224,POWERGRID.NS,2025-04-03,2025-04-04,,
225,POWERGRID.NS,2025-04-11,2025-04-15,,
226,POWERGRID.NS,2025-04-16,2025-04-17,,
227,POWERGRID.NS,2025-04-23,2025-04-24,,
228,POWERGRID.NS,2025-04-30,2025-05-02,,
229,POWERGRID.NS,2025-05-14,2025-05-15,,
230,POWERGRID.NS,2025-05-21,2025-05-22,,
231,POWERGRID.NS,2025-05-28,2025-05-29,,
232,POWERGRID.NS,2025-06-12,2025-06-13,,
233,POWERGRID.NS,2025-06-18,2025-06-19,,
234,POWERGRID.NS,2025-06-25,2025-06-26,,
235,POWERGRID.NS,2025-07-02,2025-07-03,,
236,POWERGRID.NS,2025-07-23,2025-07-24,,
237,POWERGRID.NS,2025-07-30,2025-07-31,,
238,POWERGRID.NS,2025-08-06,2025-08-07,,
