id,symbol,added_on,reason
492,POWERGRID.NS,2025-07-01,3% weekly high-low move
493,POWERGRID.NS,2025-07-22,3% weekly high-low move
494,POWERGRID.NS,2025-07-29,3% weekly high-low move
495,POWERGRID.NS,2025-08-05,3% weekly high-low move
496,ADANIGREEN.NS,2025-08-19,3% weekly high-low move
497,BAJAJFINSV.NS,2025-08-19,3% weekly high-low move
498,BAJFINANCE.NS,2025-08-19,3% weekly high-low move
499,BRITANNIA.NS,2025-08-19,3% weekly high-low move
500,DABUR.NS,2025-08-19,3% weekly high-low move
501,EICHERMOT.NS,2025-08-19,3% weekly high-low move
502,HAVELLS.NS,2025-08-19,3% weekly high-low move
503,HEROMOTOCO.NS,2025-08-19,3% weekly high-low move
504,ICICIGI.NS,2025-08-19,3% weekly high-low move
505,ICICIPRULI.NS,2025-08-19,3% weekly high-low move
506,INDIGO.NS,2025-08-19,3% weekly high-low move
507,INDUSTOWER.NS,2025-08-19,3% weekly high-low move
508,MRF.NS,2025-08-19,3% weekly high-low move
509,NESTLEIND.NS,2025-08-19,3% weekly high-low move
510,PEL.NS,2025-08-19,3% weekly high-low move
511,SHREECEM.NS,2025-08-19,3% weekly high-low move
512,TVSMOTOR.NS,2025-08-19,3% weekly high-low move
513,VOLTAS.NS,2025-08-19,3% weekly high-low move
514,WHIRLPOOL.NS,2025-08-19,3% weekly high-low move
